id,region1,region2,region3,locality,postcode,latitude,longitude,elevation,iso2,fips,nuts,hasc,stat,timezone,utc,dst
1005288788,Burgenland,Eisenstadt-Umgebung,Zagersdorf,Zagersdorf,7012,47.765144,16.51642,182,AT-1,AU01,AT112,AT.BU.EU,22,Europe/Vienna,+01:00,+02:00
1005288801,Burgenland,Eisenstadt-Umgebung,Zillingtal,Zillingtal,7033,47.81826,16.378037,235,AT-1,AU01,AT112,AT.BU.EU,24,Europe/Vienna,+01:00,+02:00
1005288802,Burgenland,Eisenstadt-Umgebung,Zillingtal,Zillingtal,7034,47.813109,16.407722,225,AT-1,AU01,AT112,AT.BU.EU,24,Europe/Vienna,+01:00,+02:00
1005288804,Burgenland,Eisenstadt-Umgebung,Zillingtal,Zillingtal,7035,47.8324,16.381879,261,AT-1,AU01,AT112,AT.BU.EU,24,Europe/Vienna,+01:00,+02:00
1005289024,Burgenland,Güssing,Bildein,Oberbildein,7521,47.130791,16.463369,219,AT-1,AU01,AT113,AT.BU.GS,37,Europe/Vienna,+01:00,+02:00
1005289025,Burgenland,Güssing,Bildein,Unterbildein,7521,47.128394,16.467182,225,AT-1,AU01,AT113,AT.BU.GS,38,Europe/Vienna,+01:00,+02:00
1005289062,Burgenland,Güssing,Bocksdorf,Bocksdorf,7551,47.140426,16.175697,248,AT-1,AU01,AT113,AT.BU.GS,28,Europe/Vienna,+01:00,+02:00
1005289882,Burgenland,Güssing,Burgauberg-Neudauberg,Burgauberg,8291,47.148461,16.123525,327,AT-1,AU01,AT113,AT.BU.GS,31,Europe/Vienna,+01:00,+02:00
1005289885,Burgenland,Güssing,Burgauberg-Neudauberg,Neudauberg,8292,47.170541,16.118937,335,AT-1,AU01,AT113,AT.BU.GS,32,Europe/Vienna,+01:00,+02:00
1005289021,Burgenland,Güssing,Eberau,Eberau,7521,47.109112,16.464319,214,AT-1,AU01,AT113,AT.BU.GS,33,Europe/Vienna,+01:00,+02:00
1005289022,Burgenland,Güssing,Eberau,Gaas,7521,47.069721,16.460253,207,AT-1,AU01,AT113,AT.BU.GS,34,Europe/Vienna,+01:00,+02:00
1005289031,Burgenland,Güssing,Eberau,Kroatisch Ehrensdorf,7522,47.112043,16.402381,261,AT-1,AU01,AT113,AT.BU.GS,35,Europe/Vienna,+01:00,+02:00
1005289023,Burgenland,Güssing,Eberau,Kulm im Burgenland,7521,47.10228,16.446867,231,AT-1,AU01,AT113,AT.BU.GS,36,Europe/Vienna,+01:00,+02:00
